book,chapter,bullets,text,para_num_tokens,bullets_num_tokens,compression_ratio
9781905832729,ch_3,"Physical examination is essential, and may include neurological examination, abdominal examination and examination of the genitals.","Before incontinence surgery. In our opinion, urodynamic information is essential if surgery to treat incontinence, especially stress incontinence, is contemplated. There is, however, some debate as to the need for urodynamic investigation before incontinence surgery. The UK's National Institute for Health and Clinical Excellence (NICE) has issued guidelines stating that preoperative urodynamic studies are not necessary for patients undergoing a primary procedure and whose symptoms and examination findings suggest simple stress incontinence. We disagree with this recommendation, as it has been claimed that surgery carried out on the basis of symptoms alone is inappropriate in up to 25% of cases. Furthermore, surgery for stress incontinence can lead to voiding dysfunction and de novo detrusor overactivity (the urodynamic term describing involuntary bladder contraction), or may exacerbate pre-existing symptoms, so it is important to perform a preoperative assessment.",186,19,0.10215053763440861
9781905832729,ch_4,Stress incontinence is the involuntary leakage of urine on exertion. It is far more common in women than in men.,"Urinary incontinence (UI), defined as the involuntary loss of urine, is the focus of this chapter. A classification of UI is given in Table 3.1. Stress urinary incontinence (SUI) is defined as the involuntary leakage of urine on effort or exertion. Urgency incontinence is the involuntary leakage of urine accompanied, or immediately preceded, by urgency, and is largely caused by involuntary detrusor contractions (called detrusor overactivity) during bladder filling/storage. This is discussed in more detail in Chapter 4. Mixed incontinence refers to the coexistence of stress incontinence with urgency incontinence symptoms.",135,26,0.1925925925925926
9781905832729,ch_4,"Risk factors for stress incontinence in women include pregnancy, childbirth, menopause and obesity. Prostatectomy is the main cause in men.","SUI is often divided etiologically, especially in women, into SUI due to urethral hypermobility and that due to intrinsic sphincter deficiency (ISD). Hypermobility-related SUI implies the outlet is closed at rest and opens because of the lack of a supporting scaffold underneath (backboard) against which the urethra is normally compressed during increases in intra-abdominal pressure. The lack of support and, therefore, compression is what causes the leakage and results in urethral hypermobility. ISD implies the bladder neck and proximal urethra are not normal at rest (lack the normal closure pressure necessary to prevent exertional leakage). The bladder outlet that is damaged or diseased and fixed in an entirely open position represents the most extreme form of ISD. In reality, some ISD must exist for SUI to occur and thus sphincteric incontinence in the woman is generally due to a combination of hypermobility (lack of support) and ISD in variable proportions. Pure ISD can exist in women, and it is generally the cause of postprostatectomy sphincter incontinence in men, in whom no counterpart of hypermobility or poor support exists.",258,32,0.12403100775193798
9781905832729,ch_4,Other alternatives in women are colposuspension and injection of bulking agents.,"SUI is often divided etiologically, especially in women, into SUI due to urethral hypermobility and that due to intrinsic sphincter deficiency (ISD). Hypermobility-related SUI implies the outlet is closed at rest and opens because of the lack of a supporting scaffold underneath (backboard) against which the urethra is normally compressed during increases in intra-abdominal pressure. The lack of support and, therefore, compression is what causes the leakage and results in urethral hypermobility. ISD implies the bladder neck and proximal urethra are not normal at rest (lack the normal closure pressure necessary to prevent exertional leakage). The bladder outlet that is damaged or diseased and fixed in an entirely open position represents the most extreme form of ISD. In reality, some ISD must exist for SUI to occur and thus sphincteric incontinence in the woman is generally due to a combination of hypermobility (lack of support) and ISD in variable proportions. Pure ISD can exist in women, and it is generally the cause of postprostatectomy sphincter incontinence in men, in whom no counterpart of hypermobility or poor support exists.",258,16,0.06201550387596899
9781905832729,ch_4,"Options for management in men include injection of bulking agent into the urethral sphincter, insertion of a perineal sling or artificial urinary sphincter.","SUI is often divided etiologically, especially in women, into SUI due to urethral hypermobility and that due to intrinsic sphincter deficiency (ISD). Hypermobility-related SUI implies the outlet is closed at rest and opens because of the lack of a supporting scaffold underneath (backboard) against which the urethra is normally compressed during increases in intra-abdominal pressure. The lack of support and, therefore, compression is what causes the leakage and results in urethral hypermobility. ISD implies the bladder neck and proximal urethra are not normal at rest (lack the normal closure pressure necessary to prevent exertional leakage). The bladder outlet that is damaged or diseased and fixed in an entirely open position represents the most extreme form of ISD. In reality, some ISD must exist for SUI to occur and thus sphincteric incontinence in the woman is generally due to a combination of hypermobility (lack of support) and ISD in variable proportions. Pure ISD can exist in women, and it is generally the cause of postprostatectomy sphincter incontinence in men, in whom no counterpart of hypermobility or poor support exists.",258,36,0.13953488372093023
9781905832729,ch_4,"Behavioral modification, including pelvic floor muscle exercises, is effective in women and men when taught correctly, and a number of devices are available to assist with training.","Pelvic floor muscle exercises. The pelvic floor muscles support the bladder neck, rectum and vagina (Figure 3.1). Exercises to strengthen the pelvic floor, and therefore improve support of the bladder neck, were first described by Dr Arnold Kegel in 1948. The aims are to promote patient awareness and to improve the contractility and coordination of pelvic floor muscles, especially in women with weak pelvic floor muscles. Exercise regimens concentrate on both contraction strength and muscle endurance. The exercises described in Table 3.3 should be taught by a healthcare professional who has expertise in behavioral treatment for pelvic floor disorders (exempli gratia nurse specialist, physiotherapist). A pelvic floor muscle assessment should be performed to ensure correct technique. Improvement should be observed within 2-4 months.",159,33,0.20754716981132076
9781905832729,ch_4,The surgical procedure of choice in women is insertion of a retropubic or transobturator tape mid-urethral sling to provide support for the urethra.,"Duloxetine hydrochloride is a combined serotonin and norepinephrine (noradrenaline) reuptake inhibitor which is approved in Europe for the treatment of stress incontinence in women. Duloxetine is thought to work by increasing the tone of the urethral sphincter during filling/storage via its action on serotonin and norepinephrine in the spinal cord. Duloxetine can be used to treat moderate-to-severe stress incontinence, and has been shown to reduce the frequency of episodes of leakage. It may be more effective if combined with pelvic floor muscle exercises. Duloxetine is approved for use in Europe but not in the USA.",144,36,0.25
9781905832729,ch_5,"Overactive bladder (OAB) describes a condition in which the patient experiences urgency, with or without urge incontinence, usually with frequency and nocturia.","The term 'overactive bladder' (OAB) is defined as urgency, with or without urgency incontinence, usually with frequency and nocturia. The incidence of symptomatic OAB varies with age, from about 5% in those aged 18-44 years to 20% in those over 44 years of age. Although historically thought of as a condition in women, the prevalence of OAB is in fact only slightly lower in men than in women. A greater proportion of women with OAB have urgency incontinence (OAB-wet) than do men, who predominantly have OAB without incontinence (OAB-dry). The term detrusor overactivity refers to a urodynamic observation of involuntary detrusor contractions during the filling phase, which may be spontaneous or provoked. It can only be diagnosed after urodynamic investigation. Not all patients with symptoms of OAB will be found to have detrusor overactivity, and not all patients with detrusor overactivity will have symptoms of bladder overactivity.",212,33,0.15566037735849056
9781905832729,ch_5,Detrusor overactivity refers to involuntary detrusor contractions during filling; diagnosis is by urodynamic investigation.,"The term detrusor overactivity refers to a urodynamic observation of involuntary detrusor contractions during the filling phase, which may be spontaneous or provoked. It can only be diagnosed after urodynamic investigation. Not all patients with symptoms of OAB will be found to have detrusor overactivity, and not all patients with detrusor overactivity will have symptoms of bladder overactivity. Overactivity can be the result of neurological abnormalities in which involuntary detrusor contractions (detrusor overactivity) occur in the presence of underlying neuropathy (exempli gratia multiple sclerosis, Parkinson's disease, stroke, spinal cord injury or spina bifida).",138,24,0.17391304347826086
9781905832729,ch_5,Bladder overactivity can be neurogenic or idiopathic. Idiopathic OAB can be associated with bladder outlet obstruction.,"Bladder overactivity can also be idiopathic, occurring in a neurologically normal individual. This is by far the most common category but, as the name implies, it is not fully understood. Overactivity is seen commonly in association with bladder outlet obstruction (id est together with prostatic obstruction in men, or after surgery for incontinence in women). It is important to exclude causes such as urinary tract infection (UTI), which can be detected with a urine dipstick test and culture if indicated. A frequency/volume bladder record or diary (see Figure 2.3) is a reliable method of quantifying urinary frequency and volume. It also gives a good indication of fluid intake. Diaries should be kept for at least 3 days to allow for variations in normal activities, but the ideal duration is not known. The diary for a patient with OAB will show frequent, irregular, small-volume voids.",186,28,0.15053763440860216
9781905832729,ch_5,A frequency/volume bladder record is useful in diagnosis.,"It is important to exclude causes such as urinary tract infection (UTI), which can be detected with a urine dipstick test and culture if indicated. A frequency/volume bladder record or diary (see Figure 2.3) is a reliable method of quantifying urinary frequency and volume. It also gives a good indication of fluid intake. Diaries should be kept for at least 3 days to allow for variations in normal activities, but the ideal duration is not known. The diary for a patient with OAB will show frequent, irregular, small-volume voids.",113,11,0.09734513274336283
9781905832729,ch_5,Initial management includes behavioral modification.,"Urodynamic studies are rarely indicated initially in patients who have symptoms suggestive of OAB, and most patients receive empirical treatment (drugs and or behavioral) whether or not urodynamic studies show detrusor overactivity. The only real role for these tests in patients with OAB symptoms is if conservative therapy fails and more invasive treatment is contemplated.",70,6,0.08571428571428572
9781905832729,ch_5,Other options for refractory OAB are neuromodulation and augmentation cystoplasty. Intradetrusor botulinum toxin injection is under investigation and seems promising for refractory cases.,"Bladder training with urgency suppression. Individuals with OAB symptoms usually void more frequently than normal (called 'defensive voiding') because of urgency, or to avoid situations where urgency is likely to cause a problem. A toileting program, such as bladder training, can help this frequency as it uses a progressive voiding schedule combined with techniques to control and suppress urgency. In bladder training, the individual actively attempts to increase the interval between the first desire to void and the actual void. Patients are instructed to use techniques that control or suppress urgency. Slow, deep breathing exercises relax the bladder, decrease the intensity of the urgency and delay voiding, while distraction methods involve patients in tasks that require mental concentration. The voiding interval should be increased by 15 to 30 minutes each week until an interval of at least 3 to 4 hours is achieved. Bladder training has been shown to be beneficial, and a course lasting for a minimum of 6 weeks, together with pelvic floor muscle training with exercises (see exercises in Table 3.3), should be offered as first-line treatment.",215,43,0.2
9781905832729,ch_5,Antimuscarinic drugs are a mainstay of conservative treatment.,"Antimuscarinic drugs are the mainstay of treatment for symptoms of OAB and detrusor overactivity (Table 4.3). These drugs were thought to act by blocking the muscarinic receptors on the detrusor muscle that are stimulated by acetylcholine released by activated parasympathetic nerves, thereby reducing the ability of the bladder to contract. It should be noted, however, that these drugs work mainly during the storage phase, decreasing urgency and increasing bladder capacity, when there is normally no parasympathetic input into the lower urinary tract. All these agents have been shown to decrease afferent (sensory) neural traffic during filling/storage. Current thinking is that these agents act primarily on the sensory side at lower dosages. As the dosage increases, actions on the motor side may become apparent.",167,13,0.07784431137724551
9781905832729,ch_6,"Voiding problems occur when normal smooth emptying of the bladder is impeded, through obstruction or impaired detrusor contractility.","Voiding problems. Voiding (emptying) problems occur when there is an impediment to the normal smooth emptying of the bladder. This may result from obstruction to the normal bladder outflow - the focus of this chapter - alone or in combination with impaired contractility of the detrusor muscle. Bladder outlet obstruction may occur at any point along the length of the urethra from the bladder neck to the urethral meatus. Etiology and risk factors. The likely causes of bladder outlet obstruction are listed in Table 5.1. The most common cause in men is benign prostatic enlargement (BPE) secondary to hyperplasia and in women, pelvic organ prolapse (POP), with kinking of the urethra. The patient may present with a variety of storage and voiding symptoms.",170,27,0.1588235294117647
9781905832729,ch_6,"Benign prostatic enlargement secondary to benign prostatic hyperplasia (BPH), a process of normal aging in men, is the most common cause of outlet obstruction. In women, pelvic organ prolapse (POP) can cause obstruction. Rarer causes include posterior urethral valves, urethral stricture and bladder neck obstruction, which may be congenital or secondary to increased voiding pressures as a result of urethral abnormality.","The likely causes of bladder outlet obstruction are listed in Table 5.1. The most common cause in men is benign prostatic enlargement (BPE) secondary to hyperplasia and in women, pelvic organ prolapse (POP), with kinking of the urethra. The patient may present with a variety of storage and voiding symptoms. Benign prostatic hyperplasia (BPH) refers to a regional nodular growth of varying combinations of glandular and stromal proliferation that occurs in almost all men who have testes and who live long enough (see Fast Facts: Benign Prostatic Hyperplasia). The term encompasses histological cellular proliferation (microscopic BPH) and consequent prostate enlargement (macroscopic BPH). The term BPE indicates benign prostatic enlargement, usually due to BPH, while BPO indicates benign prostatic obstruction, a common cause of bladder outlet obstruction. Microscopic BPH is seen in about 25% of men aged 40-50 years, 50% of men aged 50-60 years, 65% of men aged 60-70 years, 80% of men aged 70-80 years and 90% of men aged 80-90 years. It is estimated that 25-50% of men with microscopic and macroscopic BPH (BPE) will develop lower urinary tract symptoms due to BPO. However, far fewer men complain about these symptoms than of BPH, and even fewer seek help because of these symptoms. The cause of BPH is not fully understood. The hormonal theory postulates that estrogen-androgen synergism associated with aging drives prostatic growth. Posterior urethral valves are a congenital cause of bladder outlet obstruction in boys, which, if severe, can lead to hydronephrosis and renal failure. One in every 5000-8000 boys is born with posterior urethral valves.",387,92,0.23772609819121446
9781905832729,ch_6,"Obstruction due to BPH can be treated with alpha-1 adrenoceptor antagonists and 5alpha-reductase inhibitors. Surgery (transurethral resection, vaporization or incision of the prostate) may be needed.","Urethral stricture is an abnormal narrowing of the urethra that causes obstruction to the outflow of urine and may ultimately lead to back pressure on the bladder, ureters and kidneys. Strictures may be caused by inflammation or scarring as a result of surgery, disease or injury. The risk is increased in patients with sexually transmitted diseases, repeated episodes of urethritis or BPH. Instrumentation of the urethra (with a catheter or cystoscope) also increases the risk. Congenital strictures and true strictures occur rarely in women. Primary bladder neck obstruction is thought to occur as a result of congenital constriction, or failure to open that is not associated with the urethra. It is characterized by incomplete opening of the bladder neck during voluntary or involuntary voiding. It is found almost exclusively in young and middle-aged men, and is characterized by long-standing storage and voiding symptoms. These men typically have normal-sized prostate glands, and objective evidence of obstruction is easily obtained on urodynamic examination. Once obstruction is diagnosed, it may be located to the bladder neck by videourodynamic investigation. The diagnosis may also be made on the grounds of outlet obstruction in the absence of urethral stricture, prostatic enlargement or detrusor-sphincter dyssynergia (DSD).",280,48,0.17142857142857143
9781905832729,ch_6,Surgery is often required for bladder neck obstruction and urethral stricture.,"Primary bladder neck obstruction is thought to occur as a result of congenital constriction, or failure to open that is not associated with the urethra. It is characterized by incomplete opening of the bladder neck during voluntary or involuntary voiding. It is found almost exclusively in young and middle-aged men, and is characterized by long-standing storage and voiding symptoms. These men typically have normal-sized prostate glands, and objective evidence of obstruction is easily obtained on urodynamic examination. Once obstruction is diagnosed, it may be located to the bladder neck by videourodynamic investigation. The diagnosis may also be made on the grounds of outlet obstruction in the absence of urethral stricture, prostatic enlargement or detrusor-sphincter dyssynergia (DSD).",162,16,0.09876543209876543
9781905832729,ch_6,Uroflowmetry and urodynamic investigations are useful in the diagnosis of outlet obstruction but are not indicated for all men thought to have BPH. Transurethral ultrasonography and measurement of postvoid residual volume may also provide useful information. Videourodynamic investigations can be helpful in women with POP and suspected obstruction.,"In addition, urinalysis should be performed to detect hematuria (see Chapter 6) and signs of infection, and serum creatinine should be measured. Some men with BPH will have some degree of renal impairment. It is important to investigate this, as it affects clinical management. For example, a man with BPH and renal impairment may require more urgent surgical intervention and will need to be monitored more closely during and after surgery. There is some debate about whether the measurement of prostate-specific antigen (PSA) should be mandatory. This issue is beyond the scope of this book; however, it would seem sensible to consider measuring the serum PSA in all men with a life expectancy of more than 5 years and in whom the diagnosis of prostate cancer would influence treatment decisions. Ideally, the advantages and disadvantages of such testing should be explained to the patient. Uroflowmetry and urodynamic investigation. Measurement of urinary flow rate is an extremely useful investigation in patients with voiding dysfunction. The reduced flow rate characteristic of prostatic outlet obstruction is shown in Figure 2.4. Urodynamically, outlet obstruction is generally defined as high detrusor pressure accompanied by low urine flow rate. Once obstruction has been diagnosed, videourodynamic investigation can be useful to determine the site of the obstruction. Urodynamic studies are not indicated for all men suspected of having BPH. They are most useful to differentiate outlet obstruction from impaired detrusor contractility, and should be performed in patients with equivocal findings in whom invasive therapy is being considered. Videourodynamic studies, with reduction of the POP, are helpful in women.",333,66,0.1981981981981982
9781905832729,ch_7,Blood in the urine can originate from anywhere along the urinary tract and may indicate underlying pathology.,"Hematuria can originate from anywhere along the urinary tract and may be an indicator of underlying pathology. It can be microscopic or macroscopic (gross), but the investigation for each is similar. The prevalence of hematuria on urine dipstick testing in adults is estimated by various sources to be 2-16%. Dipstick testing is sensitive but is not specific, and it is sometimes difficult to distinguish between 'physiological' amounts of blood in the urine and blood that is the result of pathology.",101,18,0.1782178217821782
9781905832729,ch_7,Management depends on the underlying cause identified.,"Hematuria can originate from anywhere along the urinary tract and may be an indicator of underlying pathology. It can be microscopic or macroscopic (gross), but the investigation for each is similar.",40,8,0.2
9781905832729,ch_7,Dipstick testing is sensitive but does not distinguish between physiological and pathological amounts of blood.,"The prevalence of hematuria on urine dipstick testing in adults is estimated by various sources to be 2-16%. Dipstick testing is sensitive but is not specific, and it is sometimes difficult to distinguish between 'physiological' amounts of blood in the urine and blood that is the result of pathology. Urinary tract pathology is found in 2-10% of patients under the age of 50 years with microscopic hematuria. The most common pathologies are stones, infection, nephritis and, in men, prostate enlargement (see 5.i). Urinary tract malignancy is rarely seen in patients under 40 years of age. Over 50 years, 10-20% of patients with microscopic hematuria will have significant urinary tract pathology. Malignancy is more common in this age group when there is gross hematuria.",170,18,0.10588235294117647
9781905832729,ch_7,"The most common causes of hematuria are stones, infection, nephritis and prostate enlargement. Malignancy becomes more likely in patients over 50 years of age and who smoke. Some drugs can cause hematuria.","Urinary tract pathology is found in 2-10% of patients under the age of 50 years with microscopic hematuria. The most common pathologies are stones, infection, nephritis and, in men, prostate enlargement (see 5.i). Urinary tract malignancy is rarely seen in patients under 40 years of age. Over 50 years, 10-20% of patients with microscopic hematuria will have significant urinary tract pathology. Malignancy is more common in this age group when there is gross hematuria. In taking a history it is important to distinguish hematuria from rectal bleeding, and from vaginal bleeding in women. A history of urinary frequency and dysuria would suggest an infectious cause, which is the most common cause of hematuria in young women. Urinary tract calculi may present with pain. Glomerulonephritis or nephropathy may occur secondary to a recent upper respiratory tract infection, rash or edema.",198,46,0.23232323232323232
9781905832729,ch_7,The morphology of red blood cells may distinguish between glomerular and lower urinary tract causes.,"Microscopy. Hematuria identified by dipstick urinalysis should always be investigated further by urine microscopy. Microscopic hematuria is present if more than three red blood cells per high-power field are visible in urinary sediment from two out of three freshly voided, clean-catch midstream urine samples. The incidence of hematuria on microscopy varies from 0.2% to 16.1% in population-based studies. Microscopy can also provide further information about the morphology of the red blood cells. Misshapen red blood cells are usually glomerular in origin, whereas normal red blood cells generally come from the lower urinary tract. Red blood cell casts are almost always associated with glomerular disease.",150,18,0.12
9781905832729,ch_7,Unexplained hematuria should be followed up with repeat tests at a later date.,"Urine culture is vital to exclude infection as a cause of hematuria; hematuria should never be attributed to infection without a positive culture. In the case of urine infection, a specimen should be examined after treatment to exclude continuing hematuria. Biochemistry. Urine should be tested for proteinuria, which may be a sign of renal pathology or an extrarenal medical disorder. If proteinuria is identified, serum urea, creatinine and electrolytes should be measured.",99,19,0.1919191919191919
9781905832729,ch_7,"Ultrasonography is useful for identifying renal parenchymal disease and urinary tract obstruction. Radiography will identify stones. CT scanning is highly sensitive for detecting stones, renal masses and infections.","Intravenous urography (IVU) was traditionally the modality of choice for imaging the urinary tract, and some still consider it to be the best imaging test for the initial evaluation of microscopic hematuria. It has limited sensitivity for the detection of small renal masses and cannot differentiate between solid and cystic masses. CT is more sensitive for detecting small renal masses, and is the investigation of choice for detecting renal tract stones - it is extremely sensitive (94-98%) compared with IVU (52-59%) and ultrasonography (19%). CT is used to detect and characterize solid renal masses as well as renal and perirenal infections and associated complications. CT is therefore the most efficient investigation in differentiating the causes of hematuria and, if used as the investigation of first choice, would reduce the time taken to diagnose the underlying etiology. The sensitivity of CT with urographic follow through (CT urography) in detecting urothelial lesions compared with IVU is not yet established.",209,41,0.19617224880382775
9781905832729,ch_7,"Investigation of hematuria can be in a 'one-stop' clinic with facilities for cytology, ultrasonography and flexible cystoscopy so that diagnosis can be made in one visit.","CT is more sensitive for detecting small renal masses, and is the investigation of choice for detecting renal tract stones - it is extremely sensitive (94-98%) compared with IVU (52-59%) and ultrasonography (19%). CT is used to detect and characterize solid renal masses as well as renal and perirenal infections and associated complications. CT is therefore the most efficient investigation in differentiating the causes of hematuria and, if used as the investigation of first choice, would reduce the time taken to diagnose the underlying etiology. The sensitivity of CT with urographic follow through (CT urography) in detecting urothelial lesions compared with IVU is not yet established. Cystoscopy is recommended for the investigation of hematuria in adults. It allows for accurate detection of mucosal abnormalities and can be performed reliably with a flexible or rigid cystoscope under local anesthesia. It is possible to take bladder biopsies using a flexible cystoscope, although resection requires a rigid cystoscope and general anesthesia. 'One-stop' clinics. In European countries, the investigation of hematuria is often carried out in 'one-stop' clinics with facilities for cytology, ultrasonography and flexible cystoscopy, the aim being to make the diagnosis in a single outpatient visit.",270,41,0.15185185185185185
9781905832729,ch_8,Recurrent urinary tract infection (UTI) is defined as a further UTI after resolution of initial bacteriuria.,"Because of the increasing problem of bacterial resistance to antibiotics, it is important to rationalize treatment of asymptomatic bacteriuria. The majority of patients will not benefit from antibiotic treatment, and it is thus not indicated. However, it is important to treat asymptomatic infections in a small number of patient groups, as summarized in Table 7.1. Recurrent urinary tract infection. Recurrent UTI is defined as a UTI followed by a further infection after resolution of the initial bacteriuria. Often this reinfection is caused by repeated contamination of the urinary tract with perineal flora.",123,24,0.1951219512195122
